experiment,sweep_param,sweep_value,simTicks,simInsts,ipc,fetch_cycles,fetch_squashCycles,fetch_nisnDist_mean,fetch_nisnDist_0,fetch_nisnDist_8,fetch_nisnDist_samples,fetch_predictedBranches,fetch_cacheLines,fetch_icacheSquashes,decode_decodedInsts,decode_idleCycles,decode_blockedCycles,decode_runCycles,rename_renamedInsts,rename_idleCycles,rename_blockCycles,rename_runCycles,rename_IQFullEvents,rename_LQFullEvents,rename_SQFullEvents,rename_ROBFullEvents,rename_renamedOperands,numIssuedDist_mean,numIssuedDist_0,numIssuedDist_samples,lsq_forwLoads,lsq_blockedByCache,lsq_memOrderViolation,commit_numCommittedDist_mean,commit_numCommittedDist_0,commit_numCommittedDist_8,commit_branchMispredicts,rob_reads,rob_writes,iew_memOrderViolation
sweep_robcap112,robcap112,robcap112,8598149500,50000003,2.907602,11371386,413548,3.801494,6159028,6649547,17195538,874485,4392881,59952,63237710,3745765,3705575,7889777,62062112,4554642,1277921,8695767,1906475,111732,22116,,71208201,3.125313,2346959,17195538,2786890,1,13640,3.160554,4713423,3471982,193281,89626317,121688791,13640
sweep_robcap128,robcap128,robcap128,8633904000,50000003,2.895562,12388135,408016,3.885937,5813149,6648232,17267047,916048,4509653,31831,63262781,3113821,4831774,6812374,62223911,4061867,1344969,8152736,2807345,308550,22116,,71375253,3.106339,2415564,17267047,2698981,1,9765,3.156000,4647750,3458750,194394,90085031,122403894,9765
sweep_robcap160,robcap160,robcap160,8597217500,50000003,2.907918,12327832,407296,3.894457,5768959,6642541,17193674,912428,4499494,31795,63176618,3138466,4724455,6849130,62144404,4066238,1327216,8182775,2754425,266315,22116,,71298611,3.118146,2355241,17193674,2677982,1,9457,3.168844,4566873,3469386,194320,89868193,122270614,9457
sweep_robcap24,robcap24,robcap24,11033924500,50000003,2.265740,8863104,386266,2.360986,13219307,5347148,22067076,784779,3692031,33452,51965992,12982238,79199,8811741,51870135,13077954,61476,8716538,,,17723,,59156851,2.318939,4217302,22067076,1049411,1,125,2.292441,5563487,1312542,193008,92931382,101784234,125
sweep_robcap32,robcap32,robcap32,9389810000,50000003,2.662461,9289179,386386,2.942445,9505769,5737172,18778849,784791,3729112,42,53711586,9365243,142192,9077416,52365135,9533824,123705,8909388,,,18487,,59723383,2.743462,2133442,18778849,1578897,1,195,2.708435,3695365,1579331,193008,87256726,103721595,195
sweep_robcap40,robcap40,robcap40,9372847500,50000003,2.667279,9572743,386448,3.017841,9189042,5884371,18744921,784815,3864745,7028,56102006,8655926,438961,9423248,55553138,8753445,419712,9359037,,,19251,,64063698,2.792777,2403220,18744921,1530946,1,233,2.757718,3804292,1786697,193008,88257933,107801301,233
sweep_robcap48,robcap48,robcap48,8658938500,50000003,2.887190,9584987,386500,3.273165,7749552,5898769,17317103,784848,3862058,68,56079369,7403591,362573,9224156,55480046,7581792,342750,9179235,,,19824,,64084725,3.003444,1404430,17317103,1627191,1,253,2.979689,3636971,2453142,193008,84483257,106499122,253
sweep_robcap52,robcap52,robcap52,8250111000,50000003,3.030262,9566632,386506,3.452780,6950829,5942471,16499450,784850,3799462,21920,55705802,6664796,329942,9270343,54341026,6842809,309545,9133194,,,20397,,62588102,3.146059,1067266,16499450,1703268,1,253,3.125791,4059998,2649235,193008,82505881,105931433,253
sweep_robcap56,robcap56,robcap56,8238012500,50000003,3.034713,9579911,386514,3.463124,6913742,5953037,16475258,784850,3801791,25120,55718999,6651904,336642,9245306,54323448,6830171,315863,9114936,,,20779,,62543933,3.151728,1035841,16475258,1710855,1,264,3.131764,4112695,2678577,193008,82486097,106030435,264
sweep_robcap60,robcap60,robcap60,8236536500,50000003,3.035256,9595602,386578,3.466144,6895677,5954789,16472312,784859,3815185,14069,55879053,6611688,363017,9233302,54590568,6798452,341666,9117301,,,21352,,62887778,3.164253,1559542,16472312,1876831,1,320,3.137419,4242055,3109363,193008,82257857,106524402,320
